Company Name,Market_cap,Qtr_sales,Price_sales_ratio
Himadri Specialt,6646.41,500.08,13.29
Coffee Day Enter,6601.62,965.3,6.84
PVR,6591.31,557.25,11.83
Chambal Fert.,6542.79,2330.1,2.81
Vijaya Bank,6531.58,3135.23,2.08
Welspun India,6520.67,1397.95,4.66
CEAT,6476.26,1574.15,4.11
Strides Shasun,6469.51,749.04,8.64
Narayana Hrudaya,6379.12,553.84,11.52
Jyothy Lab.,6324.62,431.21,14.67
Johnson Con. Hit,6209.11,377.4,16.45
Prism Cement,6176.23,1137.17,5.43
Tata Elxsi,6153.54,345.54,17.81
Syndicate Bank,6086.37,5375.57,1.13
D B Corp,6059.97,598.58,10.12
Jain Irrigation,6019.89,1889.63,3.19
Persistent Sys,5996.4,791.89,7.57
Redington India,5896.54,11728.4,0.5
Sunteck Realty,5865.04,201.5,29.11
Raymond,5863.1,1484.24,3.95
MOIL,5840.29,299.8,19.48
Bombay Dyeing,5823.25,619.93,9.39
GE Shipping Co,5802.66,584.42,9.93
Grindwell Norton,5706.51,365.42,15.62
EID Parry,5652.33,3557.94,1.59
IOB,5591.02,4254.68,1.31
Galaxy Surfact.,5567.11,826.95,6.73
Laurus Labs,5502.94,473.77,11.62
Guj Alkalies,5498.45,617.61,8.9
GE Power,5497.4,1137.17,4.83
Timken India,5495.76,278.58,19.73
CPCL,5427.82,8587.17,0.63
Dishman Carbogen,5416.39,459.82,11.78
St Bk of Bikaner,5402.95,2262.28,2.39
ISGEC Heavy,9885.05,1137.17,8.69
MMTC,5300.0,1137.17,4.66
IFB Inds.,5293.53,531.74,9.96
eClerx Services,5259.14,339.89,15.47
Sobha,5224.11,691.9,7.55
Kirloskar Oil,5207.77,684.61,7.61
GSFC,5200.13,1537.45,3.38
CG Power & Indu.,5151.85,1516.08,3.4
Westlife Develop,5145.88,305.19,16.86
K P R Mill Ltd,5145.36,714.51,7.2
Tube Investments,5139.43,1274.21,4.03
Bajaj Electrical,5127.38,1145.13,4.48
VST Inds.,5109.25,238.97,21.38
BEML Ltd,5089.87,731.51,6.96
FDC,5084.19,248.77,20.44
DCB Bank,5080.5,610.78,8.32
Star Cement,5072.67,377.43,13.44
Netwrk.18 Media,5067.23,366.02,13.84
Gulf Oil Lubric.,5020.44,355.95,14.1
UCO Bank,5012.59,3449.55,1.45
Jagran Prakashan,4995.05,598.07,8.35
Elgi Equipment,4954.08,415.42,11.93
JK Lakshmi Cem.,4931.55,837.41,5.89
Zydus Wellness,4921.45,132.4,37.17
Equitas Holdings,4886.09,429.86,11.37
India Cements,4885.75,1213.08,4.03
Dishman Pharma.,4861.2,534.22,9.1
South Ind.Bank,4856.71,1576.96,3.08
Polaris Consulta,4830.44,680.07,7.1
V I P Inds.,4819.63,337.99,14.26
APL Apollo,4775.03,1314.38,3.63
Sadbhav Infra.,4735.67,624.37,7.58
Jindal Stain.,4726.91,2988.86,1.58
Swan Energy,4721.49,1137.17,4.15
NIIT Tech.,4658.2,756.5,6.16
Caplin Point Lab,4600.73,141.61,32.49
Indian Energy Ex,4595.7,64.75,70.98
Shoppers St.,4558.06,1137.17,4.01
Godfrey Phillips,4512.29,581.94,7.75
Jindal Stain .Hi,4498.09,2438.58,1.84
RCF,4493.52,1985.06,2.26
Rallis India,4493.2,390.16,11.52
Stand.Chart.PLC,4487.31,1137.17,3.95
GMDC,4456.77,506.06,8.81
Manpasand Bever.,4406.8,143.13,30.79
Tata Inv.Corpn.,4401.66,47.02,93.61
Essel Propack,4371.24,595.05,7.35
Allcargo Logist.,4369.69,1479.91,2.95
Radico Khaitan,4358.48,482.52,9.03
Cera Sanitary.,4356.9,290.88,14.98
BSE,9885.05,1137.17,8.69
Forbes & Co,4331.82,63.93,67.76
SBT,4328.47,2365.94,1.83
KNR Construct.,4325.39,433.19,9.98
PNC Infratech,4307.29,472.48,9.12
Greenply Inds.,4295.02,399.29,10.76
Ujjivan Fin.Ser.,4293.42,0.0,inf
Monsanto India,4291.43,183.74,23.36
Vinati Organics,4279.07,185.65,23.05
Jindal Saw,4278.31,1137.17,3.76
Lux Industries,4269.78,297.43,14.36
Linde India,4198.33,1137.17,3.69
Ratnamani Metals,4194.31,535.6,7.83
Cox & Kings,4179.29,1356.07,3.08
Omaxe,4168.29,506.82,8.22
Ashoka Buildcon,4166.87,729.22,5.71
Time Technoplast,4156.58,754.7,5.51
Phillips Carbon,4149.67,612.4,6.78
Allahabad Bank,4137.11,4243.83,0.97
Welspun Corp,4103.05,2304.16,1.78
NESCO,4093.02,80.62,50.77
CARE Ratings,4090.69,74.82,54.67
JP Associates,4074.37,1137.17,3.58
Andhra Bank,4067.25,4549.26,0.89
Zensar Tech.,4066.42,793.76,5.12
S H Kelkar & Co.,4057.34,283.12,14.33
Mahindra Holiday,4030.35,267.54,15.06
Sintex Plastics,4022.02,1332.73,3.02
SREI Infra. Fin.,4009.63,1405.19,2.85
Techno Elec.,3975.44,275.64,14.42
Minda Corp,3974.83,636.2,6.25
HMT,3973.5,1137.17,3.49
KPIT Tech.,3927.26,912.77,4.3
Triveni Turbine,3910.17,165.59,23.61
Shankara Build.,3901.07,624.62,6.25
Multi Comm. Exc.,3847.19,60.97,63.1
Brigade Enterpr.,3846.15,423.91,9.07
Gayatri Projects,3835.73,1137.17,3.37
Magma Fincorp,3826.83,580.58,6.59
VRL Logistics,3824.69,489.34,7.82
ICRA,3809.0,82.87,45.96
Shriram Pistons,3804.58,430.8,8.83
IFCI,3789.45,626.8,6.05
Suprajit Engg.,3777.26,366.29,10.31
J & K Bank,3775.5,1682.97,2.24
Navin Fluo.Intl.,3769.26,221.45,17.02
Karnataka Bank,3765.74,1332.24,2.83
Shilpa Medicare,3764.1,185.53,20.29
Kushal,3761.86,578.18,6.51
Venky's (India),3760.61,695.85,5.4
Force Motors,9885.05,1137.17,8.69
CCL Products,3748.73,273.99,13.68
Excel Crop Care,3734.06,258.65,14.44
Trident,3722.6,1137.17,3.27
Corporation Bank,3716.46,4387.85,0.85
